epoch,step,train/brier_fde,train/minADE6,train/minFDE6,train/miss_rate,train/nuscenes/brier_fde,train/nuscenes/minADE6,train/nuscenes/minFDE6,train/nuscenes/miss_rate,val/brier_fde,val/minADE6,val/minFDE6,val/miss_rate,val/nuscenes/brier_fde,val/nuscenes/minADE6,val/nuscenes/minFDE6,val/nuscenes/miss_rate
0,92,,,,,,,,,12.997209548950195,6.162055015563965,12.079792022705078,0.859375,12.997209548950195,6.162055015563965,12.079792022705078,0.859375
0,92,48.8853645324707,23.435386657714844,46.71430206298828,0.9973118305206299,48.8853645324707,23.435386657714844,46.71430206298828,0.9973118305206299,,,,,,,,
1,185,,,,,,,,,10.976271629333496,5.256661415100098,10.042895317077637,0.625,10.976271629333496,5.256661415100098,10.042895317077637,0.625
1,185,46.09530258178711,19.983766555786133,43.3618049621582,0.9690860509872437,46.09530258178711,19.983766555786133,43.3618049621582,0.9690860509872437,,,,,,,,
2,278,,,,,,,,,9.25480842590332,4.631073951721191,8.338804244995117,0.578125,9.25480842590332,4.631073951721191,8.338804244995117,0.578125
2,278,40.3548583984375,16.63544464111328,39.04814910888672,0.9502688050270081,40.3548583984375,16.63544464111328,39.04814910888672,0.9502688050270081,,,,,,,,
3,371,,,,,,,,,8.501791000366211,4.227995872497559,7.549911975860596,0.578125,8.501791000366211,4.227995872497559,7.549911975860596,0.578125
3,371,37.34723663330078,14.68232536315918,35.334747314453125,0.9206989407539368,37.34723663330078,14.68232536315918,35.334747314453125,0.9206989407539368,,,,,,,,
4,464,,,,,,,,,7.946127891540527,3.7905025482177734,7.055656433105469,0.5625,7.946127891540527,3.7905025482177734,7.055656433105469,0.5625
4,464,34.86518859863281,13.102948188781738,31.753673553466797,0.8938171863555908,34.86518859863281,13.102948188781738,31.753673553466797,0.8938171863555908,,,,,,,,
5,557,,,,,,,,,7.187020778656006,3.503488063812256,6.33172607421875,0.53125,7.187020778656006,3.503488063812256,6.33172607421875,0.53125
5,557,30.224353790283203,11.362998008728027,27.207197189331055,0.8575268983840942,30.224353790283203,11.362998008728027,27.207197189331055,0.8575268983840942,,,,,,,,
6,650,,,,,,,,,7.106555938720703,3.151503086090088,6.287010192871094,0.59375,7.106555938720703,3.151503086090088,6.287010192871094,0.59375
6,650,28.147830963134766,9.837773323059082,23.424175262451172,0.8387096524238586,28.147830963134766,9.837773323059082,23.424175262451172,0.8387096524238586,,,,,,,,
7,743,,,,,,,,,6.821569442749023,3.077670097351074,5.970000267028809,0.625,6.821569442749023,3.077670097351074,5.970000267028809,0.625
7,743,23.656383514404297,8.353240966796875,19.242631912231445,0.823924720287323,23.656383514404297,8.353240966796875,19.242631912231445,0.823924720287323,,,,,,,,
8,836,,,,,,,,,6.876966953277588,2.8551456928253174,5.997425556182861,0.703125,6.876966953277588,2.8551456928253174,5.997425556182861,0.703125
8,836,20.088401794433594,7.104666233062744,15.931853294372559,0.7755376100540161,20.088401794433594,7.104666233062744,15.931853294372559,0.7755376100540161,,,,,,,,
9,929,,,,,,,,,6.860073566436768,2.865494728088379,5.984147071838379,0.78125,6.860073566436768,2.865494728088379,5.984147071838379,0.78125
9,929,17.26538848876953,5.9445977210998535,12.237762451171875,0.7204301357269287,17.26538848876953,5.9445977210998535,12.237762451171875,0.7204301357269287,,,,,,,,
10,1022,,,,,,,,,7.230602264404297,3.117908477783203,6.392661094665527,0.828125,7.230602264404297,3.117908477783203,6.392661094665527,0.828125
10,1022,14.841377258300781,5.074798107147217,10.068812370300293,0.6801075339317322,14.841377258300781,5.074798107147217,10.068812370300293,0.6801075339317322,,,,,,,,
11,1115,,,,,,,,,6.687288761138916,2.715850830078125,5.819913864135742,0.71875,6.687288761138916,2.715850830078125,5.819913864135742,0.71875
11,1115,13.42065715789795,4.262035846710205,7.74933385848999,0.6505376100540161,13.42065715789795,4.262035846710205,7.74933385848999,0.6505376100540161,,,,,,,,
12,1208,,,,,,,,,6.069952011108398,2.453068733215332,5.212978363037109,0.515625,6.069952011108398,2.453068733215332,5.212978363037109,0.515625
12,1208,11.765186309814453,3.5736963748931885,5.881706714630127,0.5994623899459839,11.765186309814453,3.5736963748931885,5.881706714630127,0.5994623899459839,,,,,,,,
