epoch,step,train/brier_fde,train/minADE6,train/minFDE6,train/miss_rate,train/nuscenes/brier_fde,train/nuscenes/minADE6,train/nuscenes/minFDE6,train/nuscenes/miss_rate,val/brier_fde,val/minADE6,val/minFDE6,val/miss_rate,val/nuscenes/brier_fde,val/nuscenes/minADE6,val/nuscenes/minFDE6,val/nuscenes/miss_rate
0,4,,,,,,,,,15.712757110595703,7.940014839172363,14.743764877319336,1.0,15.712757110595703,7.940014839172363,14.743764877319336,1.0
0,4,49.00888442993164,24.69212532043457,47.887699127197266,1.0,49.00888442993164,24.69212532043457,47.887699127197266,1.0,,,,,,,,
1,9,,,,,,,,,15.638769149780273,7.918627738952637,14.669780731201172,1.0,15.638769149780273,7.918627738952637,14.669780731201172,1.0
1,9,48.96650314331055,24.60172462463379,47.840972900390625,1.0,48.96650314331055,24.60172462463379,47.840972900390625,1.0,,,,,,,,
2,14,,,,,,,,,15.57377815246582,7.86464262008667,14.60479736328125,1.0,15.57377815246582,7.86464262008667,14.60479736328125,1.0
2,14,48.9326171875,24.47479248046875,47.79744338989258,1.0,48.9326171875,24.47479248046875,47.79744338989258,1.0,,,,,,,,
3,19,,,,,,,,,15.458600997924805,7.769028186798096,14.489797592163086,1.0,15.458600997924805,7.769028186798096,14.489797592163086,1.0
3,19,48.99144744873047,24.37236976623535,47.835655212402344,1.0,48.99144744873047,24.37236976623535,47.835655212402344,1.0,,,,,,,,
4,24,,,,,,,,,15.4524507522583,7.652043342590332,14.487500190734863,1.0,15.4524507522583,7.652043342590332,14.487500190734863,1.0
4,24,49.05373764038086,24.232505798339844,47.76598358154297,1.0,49.05373764038086,24.232505798339844,47.76598358154297,1.0,,,,,,,,
5,29,,,,,,,,,14.996474266052246,7.422695159912109,14.065231323242188,1.0,14.996474266052246,7.422695159912109,14.065231323242188,1.0
5,29,51.55815887451172,23.78328514099121,47.35331726074219,1.0,51.55815887451172,23.78328514099121,47.35331726074219,1.0,,,,,,,,
6,34,,,,,,,,,14.886153221130371,7.2905473709106445,13.935066223144531,1.0,14.886153221130371,7.2905473709106445,13.935066223144531,1.0
6,34,49.19743728637695,23.547605514526367,47.10817337036133,1.0,49.19743728637695,23.547605514526367,47.10817337036133,1.0,,,,,,,,
7,39,,,,,,,,,14.716499328613281,7.152975559234619,13.779437065124512,1.0,14.716499328613281,7.152975559234619,13.779437065124512,1.0
7,39,49.442588806152344,23.402664184570312,46.914913177490234,1.0,49.442588806152344,23.402664184570312,46.914913177490234,1.0,,,,,,,,
8,44,,,,,,,,,14.47526741027832,6.981536388397217,13.532759666442871,1.0,14.47526741027832,6.981536388397217,13.532759666442871,1.0
8,44,52.09465789794922,23.1242618560791,46.702598571777344,1.0,52.09465789794922,23.1242618560791,46.702598571777344,1.0,,,,,,,,
9,49,,,,,,,,,14.450833320617676,6.913714408874512,13.511971473693848,1.0,14.450833320617676,6.913714408874512,13.511971473693848,1.0
9,49,50.95329284667969,22.966161727905273,46.602046966552734,1.0,50.95329284667969,22.966161727905273,46.602046966552734,1.0,,,,,,,,
10,54,,,,,,,,,14.034139633178711,6.739307403564453,13.14005184173584,0.9375,14.034139633178711,6.739307403564453,13.14005184173584,0.9375
10,54,54.85047912597656,22.76790428161621,46.48155212402344,1.0,54.85047912597656,22.76790428161621,46.48155212402344,1.0,,,,,,,,
11,59,,,,,,,,,13.936609268188477,6.532220840454102,13.11343765258789,0.96875,13.936609268188477,6.532220840454102,13.11343765258789,0.96875
11,59,58.17591857910156,22.340185165405273,46.118587493896484,1.0,58.17591857910156,22.340185165405273,46.118587493896484,1.0,,,,,,,,
